#ts=2026-07-09 14:29:46,rate=6.0
交易所,品种,月差,组合合约,近月到期天数,月差跨度(月),最新价差,价差买/卖,盘口宽(跳),fullcarry,时间贴水,转抛比例,可转抛,_last,_ask,_cap,_stor,_dec
INE,SC,sc2612-sc2701,,144,1,-1.5,-2.7/-1.2,15.0,-8.68,,0.1729,是,-1.5,-1.2,2.6758,6.0,0.0
SHFE,ZN,zn2609-zn2610,,68,1,-25,-35/-25,2.0,-145.56,,0.1717,是,-25,-25,136.565,9.0,0.0
SHFE,AG,ag2608-ag2609,,39,1,-13,-16/-9,7.0,-79.69,,0.1631,是,-13,-9,79.2055,0.48,0.0
SHFE,AG,ag2611-ag2612,,130,1,-11,-25/-11,14.0,-79.98,,0.1375,是,-11,-11,79.5025,0.48,0.0
DCE,C,c2611-c2701,SP c2611&c2701,127,2,-8,-9/-7,2.0,-60.91,,0.1313,是,-8,-7,24.915,36.0,0.0
CZCE,SM,SM611-SM612,SPD SM611&SM612,127,1,-6,-6/-4,1.0,-46.21,,0.1298,是,-6,-4,32.714,13.5,0.0
GFEX,SI,si2612-si2701,,158,1,-10,-40/-5,7.0,-78.29,,0.1277,是,-10,-5,48.29,30.0,0.0
CZCE,SH,SH610-SH611,SPD SH610&SH611,104,1,-20,-20/-19,1.0,-173.04,,0.1156,是,-20,-19,11.0385,162.0,0.0
DCE,Y,y2609-y2611,SP y2609&y2611,67,2,-17,-17/-16,1.0,-148.62,,0.1144,是,-17,-16,94.622,54.0,0.0
CZCE,RM,RM608-RM609,SPD RM608&RM609,36,1,-3,-3/-2,1.0,-27.83,,0.1078,是,-3,-2,12.826,15.0,0.0
SHFE,AL,al2612-al2701,,159,1,-15,-30/-5,5.0,-139.27,,0.1077,是,-15,-5,127.27,12.0,0.0
SHFE,ZN,zn2612-zn2701,,159,1,-15,-50/5,11.0,-145.73,,0.1029,是,-15,5,136.73,9.0,0.0
CZCE,SM,SM701-SM702,SPD SM701&SM702,189,1,-4,-10/-4,3.0,-46.29,,0.0864,是,-4,-4,32.791,13.5,0.0
DCE,C,c2701-c2703,SP c2701&c2703,189,2,-5,-6/-5,1.0,-61.0,,0.082,是,-5,-5,25.003,36.0,0.0
SHFE,AL,al2701-al2702,,190,1,-10,-25/10,7.0,-139.35,,0.0718,是,-10,10,127.3525,12.0,0.0
SHFE,CU,cu2701-cu2702,,190,1,-40,-90/-10,8.0,-574.89,,0.0696,是,-40,-10,565.895,9.0,0.0
CZCE,SH,SH612-SH701,SPD SH612&SH701,158,1,-12,-14/-12,2.0,-173.39,,0.0692,是,-12,-12,11.3905,162.0,0.0
SHFE,ZN,zn2610-zn2611,,98,1,-10,-20/0,4.0,-145.7,,0.0686,是,-10,0,136.7025,9.0,0.0
SHFE,SN,sn2611-sn2612,,130,1,-120,-410/330,74.0,-2313.2,,0.0519,是,-120,330,2268.2,45.0,0.0
DCE,A,a2701-a2703,SP a2701&a2703,189,2,-4,-4/-3,1.0,-82.61,,0.0484,是,-4,-3,52.613,30.0,0.0
CZCE,UR,UR612-UR701,SPD UR612&UR701,158,1,-1,-2/-1,1.0,-21.49,,0.0465,是,-1,-1,9.493,12.0,0.0
DCE,FB,fb2612-fb2701,SP fb2612&fb2701,158,1,-1.0,-3.0/0.5,7.0,-37.37,,0.0268,是,-1.0,0.5,7.3728,30.0,0.0
GFEX,LC,lc2609-lc2610,SP lc2609&lc2610,67,1,-20,-60/-20,2.0,-988.86,,0.0202,是,-20,-20,838.86,150.0,0.0
SHFE,AL,al2611-al2612,,130,1,0,-20/0,4.0,-139.27,,-0.0,是,0,0,127.27,12.0,0.0
CZCE,FG,FG608-FG609,SPD FG608&FG609,36,1,0,-1/0,1.0,-41.24,,-0.0,是,0,0,5.2415,36.0,0.0
CZCE,UR,UR611-UR612,SPD UR611&UR612,127,1,0,0/1,1.0,-21.49,,-0.0,是,0,1,9.493,12.0,0.0
CZCE,MA,MA608-MA609,SPD MA608&MA609,36,1,0,-1/1,2.0,-73.62,,-0.0,是,0,1,13.618,60.0,0.0
INE,BC,bc2610-bc2611,,98,1,0,-200/0,20.0,-516.6,,-0.0,是,0,0,501.6,15.0,0.0
INE,SC,sc2702-sc2703,,204,1,0.0,-2.0/1.9,39.0,-8.7,,-0.0,是,0.0,1.9,2.6956,6.0,0.0
SHFE,CU,cu2608-cu2609,,39,1,10,-10/10,2.0,-575.94,,-0.0174,是,10,10,566.94,9.0,0.0
CZCE,CJ,CJ612-CJ701,SPD CJ612&CJ701,158,1,5,-5/5,2.0,-188.95,-50.0,-0.0265,是,5,5,48.95,90.0,50.0
SHFE,SN,sn2701-sn2702,,190,1,70,-340/280,62.0,-2311.0,,-0.0303,是,70,280,2266.0,45.0,0.0
SHFE,FU,fu2608-fu2609,,22,1,2,2/5,3.0,-59.33,,-0.0337,是,2,5,17.325,42.0,0.0
SHFE,ZN,zn2611-zn2612,,130,1,5,-10/50,12.0,-145.76,,-0.0343,是,5,50,136.7575,9.0,0.0
SHFE,CU,cu2612-cu2701,,159,1,20,-10/50,6.0,-575.0,,-0.0348,是,20,50,566.005,9.0,0.0
INE,BC,bc2608-bc2609,,39,1,20,0/50,5.0,-517.87,,-0.0386,是,20,50,502.865,15.0,0.0
SHFE,PB,pb2611-pb2612,,130,1,5,-50/5,11.0,-109.85,,-0.0455,是,5,5,88.8525,21.0,0.0
CZCE,OI,OI609-OI611,SPD OI609&OI611,67,2,8,7/8,1.0,-163.08,,-0.0491,是,8,8,109.076,54.0,0.0
SHFE,CU,cu2611-cu2612,,130,1,30,20/60,4.0,-575.17,,-0.0522,是,30,60,566.17,9.0,0.0
CZCE,MA,MA610-MA611,SPD MA610&MA611,104,1,5,5/6,1.0,-73.58,,-0.068,是,5,6,13.5795,60.0,0.0
DCE,EG,eg2701-eg2702,SP eg2701&eg2702,201,1,5,5/6,1.0,-67.03,,-0.0746,是,5,6,22.033,45.0,0.0
DCE,I,i2701-i2702,SP i2701&i2702,189,1,1.0,1.0/1.5,1.0,-13.03,,-0.0767,是,1.0,1.5,4.0315,9.0,0.0
GFEX,LC,lc2610-lc2611,,104,1,80,80/1060,49.0,-986.99,,-0.0811,是,80,1060,836.99,150.0,0.0
CZCE,SM,SM609-SM610,SPD SM609&SM610,67,1,4,2/4,1.0,-45.96,,-0.087,是,4,4,32.461,13.5,0.0
DCE,CS,cs2701-cs2703,SP cs2701&cs2703,189,2,7,6/7,1.0,-77.05,,-0.0908,是,7,7,29.051,48.0,0.0
CZCE,RM,RM701-RM703,SPD RM701&RM703,189,2,5,5/6,1.0,-54.91,,-0.091,是,5,6,24.915,30.0,0.0
CZCE,UR,UR701-UR702,SPD UR701&UR702,189,1,2,2/5,3.0,-21.5,,-0.093,是,2,5,9.4985,12.0,0.0
DCE,M,m2612-m2701,SP m2612&m2701,158,1,3,3/5,2.0,-32.12,,-0.0934,是,3,5,17.116,15.0,0.0
